Sample,Ki67_freq
GMC28_MJL01_transwell.fcs,25
GMC28_MJL01.fcs,23.1
GMC28_MJL03_transwell.fcs,24.2
GMC28_MJL03.fcs,21.7
GMC28_MJL05.fcs,26.1
GMC28.fcs,19.1
HOS0143.fcs,14.4
HOS0144.fcs,23.7
HOS0145.fcs,52.7
HOS0167_MJL01_transwell.fcs,11.8
HOS0167_MJL01.fcs,16.2
HOS0167_MJL03_transwell.fcs,15.6
HOS0167_MJL03.fcs,16.7
HOS0167_MJL05.fcs,14.7
HOS0167.fcs,41.4
HOS0170_MJL01_transwell.fcs,11.2
HOS0170_MJL01.fcs,11.5
HOS0170_MJL03_transwell.fcs,13.7
HOS0170_MJL03.fcs,9.46
HOS0170_MJL05.fcs,13.1
HOS0170.fcs,61.6
HOS0172.fcs,24.8
HOS0174_MJL01_transwell.fcs,16.4
HOS0174_MJL01.fcs,15.6
HOS0174_MJL03_transwell.fcs,20.6
HOS0174_MJL03.fcs,17.8
HOS0174_MJL05.fcs,15.3
HOS0174.fcs,58.7
HOS0178.fcs,55.6
HOS0179.fcs,16.7
HOS0189_MJL01_transwell.fcs,13.5
HOS0189_MJL01.fcs,34
HOS0189_MJL03_transwell.fcs,17.5
HOS0189_MJL03.fcs,28.5
HOS0189_MJL05.fcs,23.8
HOS0189.fcs,19.3
HOS0190_MJL01_transwell.fcs,8.52
HOS0190_MJL01.fcs,56.1
HOS0190_MJL03_transwell.fcs,15.5
HOS0190_MJL03.fcs,37.9
HOS0190.fcs,30.2
HOS0194.fcs,32.3
HOS0198_MJL01_transwell.fcs,13.3
HOS0198_MJL01.fcs,50.3
HOS0198_MJL03_transwell.fcs,18.1
HOS0198_MJL03.fcs,55.4
HOS0198.fcs,13.7
HOS0200_MJL01_transwell.fcs,16.9
HOS0200_MJL01.fcs,36.9
HOS0200_MJL03_transwell.fcs,22.3
HOS0200_MJL03.fcs,37.5
HOS0200.fcs,34.7
HOS0201_MJL01_transwell.fcs,17.9
HOS0201_MJL01.fcs,22.9
HOS0201_MJL03_transwell.fcs,17.5
HOS0201_MJL03.fcs,16.4
HOS0201_MJL05.fcs,16.5
HOS0201.fcs,51.3
HOS0203_MJL01.fcs,18.1
HOS0203_MJL03.fcs,10
HOS0203.fcs,68.4
HOS0204_MJL01_transwell.fcs,15.2
HOS0204_MJL01.fcs,15.4
HOS0204_MJL03_transwell.fcs,17
HOS0204_MJL03.fcs,18.9
HOS0204_MJL05.fcs,20.5
HOS0204.fcs,38.3
HOS0208_MJL01.fcs,17.8
HOS0208_MJL03.fcs,13.4
HOS0208_MJL05.fcs,19.2
HOS0208.fcs,54
HOS0209_MJL01_transwell.fcs,15.3
HOS0209_MJL01.fcs,21.6
HOS0209_MJL03_transwell.fcs,24.3
HOS0209_MJL03.fcs,26.5
HOS0209.fcs,47
HOS0210_MJL01_transwell.fcs,13.3
HOS0210_MJL01.fcs,26.9
HOS0210_MJL03_transwell.fcs,15.4
HOS0210_MJL03.fcs,29.1
HOS0210_MJL05.fcs,22.5
HOS0210.fcs,49.6
HOS0211_MJL01_transwell.fcs,11.1
HOS0211_MJL01.fcs,24
HOS0211_MJL03_transwell.fcs,16.1
HOS0211_MJL03.fcs,25.4
HOS0211.fcs,23.5
HOS0215_MJL01.fcs,56.5
HOS0215_MJL03.fcs,59.1
HOS0215.fcs,67.4
HOS0216.fcs,37.9
HOS0217_MJL01_transwell.fcs,8.64
HOS0217_MJL01.fcs,12.6
HOS0217_MJL03_transwell.fcs,16.5
HOS0217_MJL03.fcs,20.9
HOS0217.fcs,62.6
HOS0218_MJL01_transwell.fcs,8.11
HOS0218_MJL01.fcs,61.5
HOS0218_MJL03_transwell.fcs,14.5
HOS0218_MJL03.fcs,64.2
HOS0218.fcs,35.5
HOS0219_MJL01_transwell.fcs,17.1
HOS0219_MJL01.fcs,19.9
HOS0219_MJL03_transwell.fcs,19.6
HOS0219_MJL03.fcs,20.8
HOS0219_MJL05.fcs,23.7
HOS0219.fcs,63.4
HOS0220_MJL01_transwell.fcs,14.1
HOS0220_MJL01.fcs,19.6
HOS0220_MJL03_transwell.fcs,8.14
HOS0220_MJL03.fcs,19
HOS0220_MJL05.fcs,30.5
HOS0220.fcs,65.8
HOS0222_MJL01_transwell.fcs,8.09
HOS0222_MJL01.fcs,37.3
HOS0222_MJL03_transwell.fcs,14.1
HOS0222_MJL03.fcs,50.8
HOS0222.fcs,23.4
HOS0224_MJL01_transwell.fcs,6.99
HOS0224_MJL01.fcs,51.7
HOS0224_MJL03_transwell.fcs,14.3
HOS0224_MJL03.fcs,43.5
HOS0224.fcs,41.8
HOS0225_MJL01.fcs,42.8
HOS0225_MJL03.fcs,43.6
HOS0225.fcs,20.7
HOS0231_MJL01_transwell.fcs,6.72
HOS0231_MJL01.fcs,17.4
HOS0231_MJL03_transwell.fcs,14.7
HOS0231_MJL03.fcs,15.2
HOS0231.fcs,23.9
HOS0233_MJL01.fcs,28.8
HOS0233_MJL03.fcs,26.7
HOS0233.fcs,41.2
HOS0234_MJL01_transwell.fcs,9.96
HOS0234_MJL01.fcs,16.4
HOS0234_MJL03_transwell.fcs,6.08
HOS0234_MJL03.fcs,16.8
HOS0234_MJL05.fcs,33.2
HOS0234.fcs,58.5
HOS0235_MJL01_transwell.fcs,7.6
HOS0235_MJL01.fcs,19.7
HOS0235_MJL03_transwell.fcs,8.85
HOS0235_MJL03.fcs,21.4
HOS0235.fcs,13.9
HOS0236_MJL01.fcs,24.6
HOS0236_MJL03.fcs,29.6
HOS0236_MJL05.fcs,44.5
HOS0236.fcs,54.6
HOS0241_MJL01_transwell.fcs,10.5
HOS0241_MJL01.fcs,9.28
HOS0241_MJL03_transwell.fcs,5.58
HOS0241_MJL03.fcs,6.37
HOS0241_MJL05.fcs,7.36
HOS0241.fcs,60.7
HOS0247_MJL01_transwell.fcs,8.59
HOS0247_MJL01.fcs,9
HOS0247_MJL03_transwell.fcs,6.65
HOS0247_MJL03.fcs,5.6
HOS0247.fcs,26.8
MJL01_NK.fcs,8.83
MJL01_No mono.fcs,38.8
MJL01_No mono_transwell.fcs,25.8
MJL01_no mono.fcs,8.16
MJL01.fcs,25.6
MJL03_NK.fcs,3.43
MJL03_No mono.fcs,26
MJL03_No mono_transwell.fcs,26.3
MJL03_no mono.fcs,2.59
MJL03.fcs,12.1
MJL05_NK.fcs,5.03
MJL05_No mono.fcs,17.6
MJL05.fcs,24.3
MJL07_MJL01_transwell.fcs,21.4
MJL07_MJL01.fcs,23.2
MJL07_MJL03.fcs,20.1
MJL07_MJL05.fcs,21.9
MJL07_actually_MJL03_transwell.fcs,21.2
MJL07.fcs,57
NK only_MJL01.fcs,20.2
NK only_MJL03.fcs,14.3
NK_HOS0146.fcs,8.21
NK_HOS0169.fcs,21.5
NK_HOS0186.fcs,3.28
NK_HOS0191.fcs,4.37
NK_HOS0195.fcs,6.88
NK_HOS0196.fcs,9.56
NK_HOS0199.fcs,53.6
NK_MJL02.fcs,3.19
NK_MJL04.fcs,2.15
NK_MJL06.fcs,1.53
NZ03_MJL01_transwell.fcs,8.17
NZ03_MJL01.fcs,19.5
NZ03_MJL03_transwell.fcs,12.5
NZ03_MJL03.fcs,15
NZ03.fcs,6.51
NZ12_MJL01_transwell.fcs,9.34
NZ12_MJL01.fcs,19.7
NZ12_MJL03_transwell.fcs,8.76
NZ12_MJL03.fcs,10.9
NZ12_MJL05.fcs,21.1
NZ12.fcs,6.8
NZ14_MJL01_transwell.fcs,7.67
NZ14_MJL01.fcs,25.7
NZ14_MJL03_transwell.fcs,7.86
NZ14_MJL03.fcs,20.5
NZ14.fcs,2.62
NZ22_MJL01_transwell.fcs,9.31
NZ22_MJL01.fcs,23.9
NZ22_MJL03_transwell.fcs,7.03
NZ22_MJL03.fcs,13.7
NZ22_MJL05.fcs,31.4
NZ22.fcs,8.6
NZ27_MJL01_transwell.fcs,5.95
NZ27_MJL01.fcs,15.7
NZ27_MJL03_transwell.fcs,10.6
NZ27_MJL03.fcs,13.3
NZ27.fcs,5.73
NZ29_MJL01_transwell.fcs,8.74
NZ29_MJL01.fcs,21.9
NZ29_MJL03_transwell.fcs,6.56
NZ29_MJL03.fcs,15.7
NZ29_MJL05.fcs,27.6
NZ29.fcs,4.99
NZ31_MJL01_transwell.fcs,5.43
NZ31_MJL01.fcs,14
NZ31_MJL03_transwell.fcs,7.22
NZ31_MJL03.fcs,17.2
NZ31.fcs,3.62
NZ32_MJL01_transwell.fcs,5.88
NZ32_MJL01.fcs,13.4
NZ32_MJL03_transwell.fcs,5.27
NZ32_MJL03.fcs,5.62
NZ32.fcs,4.02
NZ34_MJL01_transwell.fcs,23.8
NZ34_MJL01.fcs,25.3
NZ34_MJL03_transwell.fcs,31.8
NZ34_MJL03.fcs,25.5
NZ34_MJL05.fcs,19.5
NZ34.fcs,15.1
NZ38_MJL01_transwell.fcs,3.99
NZ38_MJL01.fcs,4.34
NZ38_MJL03_transwell.fcs,5.57
NZ38_MJL03.fcs,4
NZ38.fcs,5.56
